name,id,parent_id,parent_name
Milkfish,oXXZdXqlcI-,OnKoNIEmA_A,Fish
Minipig,RYJIIE7o3Q_,llMQcjN35M7,Ungulate
Mink,lDB96TfEsW9,F0rND6pfE3C,Carnivora
Minnow,5bCTZifSS2G,OnKoNIEmA_A,Fish
Miyako toad,zL3DTyE2ETD,Guwc1AoaDmB,Amphibian
Monkey (unspecified),u60IuezCq_A,6ZTeHxj99GC,Primate
Mosquito,UjPeNtjZWTG,qupKpAgusY_,Insect
Mosquitofish,cPYrGuIPWQH,OnKoNIEmA_A,Fish
Mouse,6FC3IhPWWZ9,8tURyy1wDb8,Rodent
Mussel,0c_vL-dt-9F,qarYH6EZ2m7,Mollusc
Mysidacea,6vyjszn0jr7,9FPHv4Y6A-5,Crustacea
Nassarius burchardi,QZHxMf5Y71E,qarYH6EZ2m7,Mollusc
Neanthes arenaceodentata,YUoXmWpJfgH,G0CLAICk8W5,Nereididae
Nematode,51SJ8CGws4A,rCMthrGpwxF,Worm
Neurospora crassa,faMTOtB10WH,51aOiL5rFaF,Fungus
Newt,rPw3IgKNG49,Guwc1AoaDmB,Amphibian
Non-mammalian (unspecified),N_2juQtds7A,_myt2l_zHIG,Non-mammalian
Northern dusky salamander,7qTFhqarO7G,Guwc1AoaDmB,Amphibian
Northern leopard frog,64ragyv3Xk8,Guwc1AoaDmB,Amphibian
Northern two-lined salamander,65QtlJdpPR8,Guwc1AoaDmB,Amphibian
Not-rodent (unspecified),GOdGKS1_Rx_,lW5Jwm6kkwD,Animal unspecified
Onyx slippersnail,_hUQAQCWF3D,qarYH6EZ2m7,Mollusc
Opossum,1gAtetLiFKA,yyTbPr41qs7,Marsupial
Oreochromis niloticus,h_jWPu-bt09,OnKoNIEmA_A,Fish
Oryzias,iG5AyBn3Oc8,OnKoNIEmA_A,Fish
Other bacteria,Zex51q_PoQE,FiGLV1kduQ-,Bacterium
Other crustacea,P_neepk9mKC,9FPHv4Y6A-5,Crustacea
Other fish,da2SgNil5lF,OnKoNIEmA_A,Fish
Other insect,LKAAigPtyG-,qupKpAgusY_,Insect
Other molluscs,D27A12XNYsF,qarYH6EZ2m7,Mollusc
Other protozoa,E8RjQbZUl94,f8f7D07AOxF,Protozoan
Other virus,n5QgheHZ9sB,9Mi-tQ0DLR5,Virus
Other yeast,coVSri1ghHG,51aOiL5rFaF,Fungus
Owl,2kMZiECM4a5,3YKkIwNRoLH,Bird
Oyster,r7tQDu7e3h_,qarYH6EZ2m7,Mollusc
Parhyale hawaiensis,ghBjZzRhP2C,9FPHv4Y6A-5,Crustacea
Parrot,aEuvk72JtK5,3YKkIwNRoLH,Bird
Parrotfish,jFwhK7zMplG,OnKoNIEmA_A,Fish
Patas monkey,_FtWvUdzwSH,6ZTeHxj99GC,Primate
Penguin,OsgU8z-sv57,3YKkIwNRoLH,Bird
Pig,apPy9Nt_dfE,llMQcjN35M7,Ungulate
Pig-tailed macaque,e00TBbpnRjG,6ZTeHxj99GC,Primate
Pig-tailed monkey,cnESqqv1Mq5,6ZTeHxj99GC,Primate
Pigeon,enlk07ffSMH,Bz9oyPu6liH,Pigeons and doves
Planaria,kzQ2sDIibpC,dIWpar6F836,Tricladida
Pompano,LIBgJo02Ti7,OnKoNIEmA_A,Fish
Possum,QtDtNXbMXz9,yyTbPr41qs7,Marsupial
Prairie dog,_0MIEBPaJ0_,8tURyy1wDb8,Rodent
Prawn,wGgu7dQjpD6,9FPHv4Y6A-5,Crustacea
Primate (unspecified),dY723SXlUSA,6ZTeHxj99GC,Primate
Quail,yg3X3fMaO78,1IhqLnCEqW9,Galliformes
Rabbit,679FW2TuxSF,Z2R4RJUru15,Lagomorph
Ragworm,DD6mE8oLUy5,LnhF4S-fFpB,Nereidae
Rainbow trout,xHOCIIWIaDC,OnKoNIEmA_A,Fish
Rainbowfish,Z--vBwTrR66,OnKoNIEmA_A,Fish
Rat,aU5K56VELiD,8tURyy1wDb8,Rodent
Rat kangaroo,0IZY3ZSB5J7,yyTbPr41qs7,Marsupial
Ray-finned fish,e5vrFN-Whu7,OnKoNIEmA_A,Fish
