name,id,parent_id,parent_name
Cholecalciferol,Otdb4bCzqNB,SXewe47-dN8,Vitamins/minerals
Cholera Vaccine,fXZpFZQW8M-,jy_Ljmo3tf_,Vaccines
Cholestyramine,mMzSInlt5iF,IS4zFJj_Ix-,Antihyperlipidemics
Cholic acid,mv3c4qwUKq-,kjdk9UaF3z9,Metabolics
Choline,xJaT36jPFfG,s-_GCZt8tO9,Nootropic agents
Choline Alfoscerate,Q6JrqF6vjn6,s-_GCZt8tO9,Nootropic agents
Choline C-11,jfkKVv9mIP4,wm8smfB5tiA,"Diagnostics, radiopharmaceuticals"
Choline Fenofibrate,ixYDixT13i8,IS4zFJj_Ix-,Antihyperlipidemics
Choline Magnesium Trisalicylate,MlHpyoVKZLC,ne8s9xavL9A,"Analgesics, non-narcotic"
Choline Salicylate,312ycT27sj7,ne8s9xavL9A,"Analgesics, non-narcotic"
"Cholinesterase inhibitors, NOS",AJSFmXm2eT-,dng3UGaD9uD,Cholinesterase inhibitors
Chromic Chloride,0y4Zgc30LKG,SXewe47-dN8,Vitamins/minerals
"Chromic Phosphate, P-32",guMi4UwBQeB,wm8smfB5tiA,"Diagnostics, radiopharmaceuticals"
Chromium picolinate,akEA_0UeX9H,tjeEdT47367,Anorexiants
Chromium polynicotinate,gEClZF76NsB,tjeEdT47367,Anorexiants
Chymopapain,A3RpXO3AUU5,6gRNbPthJjF,Musculoskeletal agents
Chymotrypsin,-ZuCKruKiZ-,yG-buCUnUTH,"Enzymes, metabolic"
Chymotrypsin; Ribonuclease; Trypsin,rh2gJ6KdsQ9,yG-buCUnUTH,"Enzymes, metabolic"
Cianidanol,4KMKWCO47vF,3f4xzwJ3RB_,Antioxidants
Cibenzoline,31jSUviBCUG,MyowBS67zbE,"Antiarrhythmics, class IA"
Cicaprost,t21rCMpRGH9,0iOzvcznsgF,Prostaglandins
Ciclesonide,dWeXz02qmgH,I9S3cHZ2XN-,"Corticosteroids, topical"
Ciclopirox,Cs09jC9sgDH,53R3OA9N867,Antifungals
Cidofovir,OgyUFjnOTZ8,Qm6KT6ugkp9,Antivirals
Ciglitazone,MpqS5jeOTP8,4IjXSJpOah-,Antidiabetic agents
Cilansetron,OQ-ocGaMqMD,NhH_ozk3HsD,Serotonin receptor antagonists
Cilazapril,0uXIjRIuaGA,CTM9Ea3aku7,Angiotensin converting enzyme inhibitors
Cilomilast,OuFUDp8pPB5,sAaB4mrTzg9,Bronchodilators
Cilostazol,mzbug5DQi_F,fWNowpKR7s8,Platelet inhibitors
Ciltacabtagene Autoleucel,tOYXZTr0lf7,mRC9QLKlDxF,Cells
Ciluprevir,-f1hjtR5Vk4,Qm6KT6ugkp9,Antivirals
Cimetidine,WGamFyRU1a9,As3GsdjEtbC,"Antihistamines, H2"
Cimetropium bromide,QluTUa6RmL_,NNuXAzVcBz-,Anticholinergics
Cinacalcet Hydrochloride,cmJd051zHh5,w8KWItcRGNC,Calcimimetic agent
Cinchophen,RZALe2PbFV5,ne8s9xavL9A,"Analgesics, non-narcotic"
Cinmetacin,p7yc-abins-,ne8s9xavL9A,"Analgesics, non-narcotic"
Cinnarizine,fbFmaySmAOF,K7Tm-wOC4wH,Antiemetics/antivertigo
Cinnoxicam,j_tjJQmvTQA,ne8s9xavL9A,"Analgesics, non-narcotic"
Cinoxacin,qyF3-yQPuv5,VSOkZcRAcJB,"Antibiotics, quinolones"
Cipaglucosidase Alfa,dMnMiCQDhC_,AhqRivLC26A,Recombinant DNA Origin
Ciprofibrate,HjVJuvp8vdA,IS4zFJj_Ix-,Antihyperlipidemics
