name,id,parent_id,parent_name
Obesity management,YMu3nTbOAOD,bkyURhUEr95,Obesity
Obsessive compulsive disorder,qLWhwrxe9rH,FADzd8lNoU9,Obsessive-compulsive disorder
Obstetrics,kabQxBWb5tE,Vijq_ZBh_GA,Obstetrical procedure
Obstruction pancreatic duct secondary to neoplasm,pApT9nTlCPD,iDafV8KecR_,Pancreatic carcinoma
Obstructive airways disorder,3zl_Yyr79EA,AOQ_Y8ZBM-G,Obstructive airways disorder
Occlusion arteriovenous cannula,ZKO56fPfioD,_kkKe_3-Xn_,Shunt thrombosis
Occlusion central venous access devices,_KPbewUnodG,tPcJpRiHcs_,Catheter management
Occlusion intravenous catheter,p0aIZNNqBaD,tPcJpRiHcs_,Catheter management
Ocular cystinosis,a1LYePhRDwF,vvnEM97txk7,Cystinosis
Ocular hypartesion prevention,vsmEU8sj89G,UoDBY_8Kq0G,Prevention of ocular hypartesion
Ocular hyperemia,H3CvFwXHXd9,Y2xy3HsTG56,Eye disorder
Odor secondary to ammoniacal urine,QTbgwR58f45,hM6zUQVK90G,Skin odour abnormal
Oesophageal candidiasis,sAa8Lzfm4y-,_OJaJ4568U6,Oesophageal candidiasis
Oligodendroglioma,b_bhazTKFV-,fZadrWN5XMD,Oligodendroglioma
Oligodendroglioma with an IDH1 R132 or IDH2 R172 mutation,Jdh41JIOztA,fZadrWN5XMD,Oligodendroglioma
Oligospermia,lSIukpzgG_F,zm_q8SxQFz4,Azoospermia
Onchocerciasis,8V8PlRtwAp8,uv4kjKB8iJC,Onchocerciasis
Onychomycosis,Xg02B7u_Eg5,FRZLvc4cSUB,Onychomycosis
Open heart surgery,2HIioweUtvF,qN0bhPSzXYD,Cardiac operation
Ophthalmia neonatorum,HEiai5clV5A,FgdTFuT1mwF,Ophthalmia neonatorum
Ophthalmia sympathetic,kh-Pi6lNj34,_AUoID8DRAH,Sympathetic ophthalmia
Ophthalmic surgery,rmUnI1muqu7,o3is7BlJ59H,Ophthalmic surgery
Opiate dependence,tWW2cHnX2YH,3nUpVoedx_H,Toxicity to various agents
Opiate withdrawal,Pt-N5WjK1A8,3nUpVoedx_H,Toxicity to various agents
Opioid dependence,ky0ZLZ7NTA4,y0RqrQXjvzH,Drug dependence
Oral carcinoma,Cc2hsDl6qwA,GB8YWC9FR2E,Lip and/or oral cavity cancer
Orchidectomy,Re3XjbC3oO7,AjxZhXlPZNC,Orchidectomy
Orchitis,4BNQES04hTB,0oVqrDTPM3B,Orchitis
Organ transplant,2u-NRgO5ALC,PPvhPJTxBI4,Organ transplant
Organizing pneumonia,I0W710ks2dB,FndF_uOJ5E_,Organising pneumonia
Ornithine transcarbamylase deficiency,njBtQWqOR9G,x7pYhVQ3LQ-,Ornithine transcarbamoylase deficiency
Oropharyngeal candidiasis,GryXGOvfyl7,M6BYYRwLIk6,Oropharyngeal candidiasis
Orotic aciduria,2_i4Ir8h26E,jWuFmBYsLp8,Oroticaciduria
Orthopox viral infection,-nU80TY72UH,5po-jMqhpbE,Orthopox viral infection
Ossification heterotopic,9H_mSP4u0eD,3y2d_5YMpf9,Extraskeletal ossification
Osteoarthritis,MxtXj0WG9s5,dqyA5ASqssE,Osteoarthritis
Osteoarticular pain,lgU5xh0f73G,d46b30gqfZ5,Musculoskeletal pain
Osteogenesis imperfecta,xevsjAzHoOC,qhkhIChgfS9,Osteogenesis imperfecta
Osteogenesis stimulation,YUjwWW_5MdB,GljR7ZCPZvD,Osteogenesis stimulation
Osteolysis secondary to breast cancer,GBj_Jq64T84,n2GuG4LMlDH,Osteolysis
Osteolysis secondary to multiple myeloma,xem1ourU5E9,n2GuG4LMlDH,Osteolysis
Osteolysis secondary to prostate cancer therapy,U7QliZbkdkE,n2GuG4LMlDH,Osteolysis
Osteolysis secondary to tumor,q8fnnmDw7i6,n2GuG4LMlDH,Osteolysis
Osteomalacia,KNVnjYznQfD,pfkw1JThF4-,Osteomalacia
Osteomyelitis,qwe4ag2Nq8A,rxYWlbANkL4,Osteomyelitis
Osteopetrosis malignant,io3dno4lTd-,74g1Jpd8vzE,Osteopetrosis
